,Product Name,Company Name,Pack Of,Price
0,Solid Men Round Neck Multicolor T-Shirt,Park Avenue,Pack of 3,TK 659
1,Printed Men Round Neck Black T-Shirt,Jack & Jones,,TK 449
2,"Striped Men Round Neck Blue, Yellow T-Shirt",Try This,,TK 440
3,Solid Men Hooded Neck Black T-Shirt,TheFashionPlus,,TK 297
4,"Typography Men Hooded Neck Orange, White, Black T-Shirt",SHAPPHR,,TK 293
5,"Striped Men Hooded Neck Red, Black T-Shirt",Helmont,,TK 284
6,"Color Block Men Hooded Neck Red, Black T-Shirt",Rebound,,TK 209
7,Solid Men Hooded Neck Black T-Shirt,Rebound,,TK 198
8,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Tripr,,TK 281
9,"Solid Men Hooded Neck Red, Black T-Shirt",LIFEIDEA,,TK 284
10,Solid Men Mandarin Collar Green T-Shirt,Seven Rocks,,TK 394
11,"Solid Men Polo Neck White, Black T-Shirt",Try This,,TK 445
12,Color Block Men Round Neck Green T-Shirt,Viluxi,,TK 299
13,Solid Men Round Neck Multicolor T-Shirt,Scott International,Pack of 3,TK 499
14,Striped Men Round Neck Yellow T-Shirt,Seven Rocks,,TK 440
15,Solid Men Hooded Neck Maroon T-Shirt,TheFashionPlus,,TK 297
16,Solid Men Hooded Neck Black T-Shirt,Yes'No,,TK 199
17,"Solid Men Mandarin Collar White, Black T-Shirt",FastColors,,TK 305
18,Striped Men Round Neck Blue T-Shirt,Reya,,TK 375
19,"Solid Men Round Neck Dark Green, White, Maroon, Black T...",London Hills,Pack of 4,TK 949
20,Typography Men Hooded Neck Multicolor T-Shirt,Tripr,,TK 305
21,Striped Men Hooded Neck Maroon T-Shirt,Helmont,,TK 284
22,Color Block Men Round Neck Black T-Shirt,SEVEN ROCKS,,TK 499
23,Solid Men Round Neck Grey T-Shirt,Billion,,TK 274
24,Color Block Men Round Neck Multicolor T-Shirt,Tripr,Pack of 3,TK 612
25,Solid Men Hooded Neck Dark Green T-Shirt,The Fashionplus,,TK 284
26,Color Block Men Round Neck Black T-Shirt,Try This,,TK 339
27,Color Block Men Round Neck Blue T-Shirt,Diwazzo,,TK 299
28,"Color Block Men Round Neck Black, White T-Shirt",FastColors,,TK 299
29,Striped Men Collared Neck Blue T-Shirt,Corsair,,TK 559
30,Color Block Men Round Neck Blue T-Shirt,Viluxi,,TK 299
31,Checkered Men Collared Neck Blue T-Shirt,Try This,,TK 445
32,"Striped Men V Neck Maroon, Grey T-Shirt",Tripr,,TK 323
33,Solid Men V Neck Multicolor T-Shirt,WEFT,Pack of 2,TK 449
34,Solid Men Mandarin Collar Blue T-Shirt,Reya,,TK 292
35,Typography Men Hooded Neck Red T-Shirt,Kay Dee,,TK 284
36,Striped Men Round Neck Black T-Shirt,Reya,,TK 375
37,Solid Men Hooded Neck Yellow T-Shirt,Helmont,,TK 284
38,Solid Men Hooded Neck Black T-Shirt,Seven Rocks,,TK 475
39,Checkered Men Polo Neck White T-Shirt,Raymond,,"TK 1,049"
40,"Solid Men Polo Neck Dark Blue, White T-Shirt",Seven Rocks,,TK 429
41,"Solid Men Mandarin Collar Blue, Maroon, Black T-Shirt",FastColors,Pack of 3,TK 719
42,Solid Men Hooded Neck Black T-Shirt,Tripr,,TK 313
43,Solid Men Round Neck Multicolor T-Shirt,Park Avenue,Pack of 3,TK 659
44,Solid Men Round Neck Maroon T-Shirt,T-HUSTLER,,TK 296
45,Solid Men Hooded Neck Black T-Shirt,Thefashionplus,,TK 299
46,Striped Men Round Neck Maroon T-Shirt,Reya,,TK 375
47,Color Block Men Round Neck Yellow T-Shirt,Viluxi,,TK 299
48,Solid Men Mandarin Collar Light Green T-Shirt,Try This,,TK 394
49,Printed Men Round Neck Black T-Shirt,Jack & Jones,,TK 449
50,Solid Men Mandarin Collar Dark Blue T-Shirt,Seven Rocks,,TK 399
51,Printed Men Hooded Neck White T-Shirt,Rockhard,,TK 299
52,Solid Men Hooded Neck Grey T-Shirt,Ronit Leading Clothing,,TK 284
53,Solid Men Round Neck Multicolor T-Shirt,Scott International,Pack of 3,TK 499
54,Solid Men Hooded Neck Black T-Shirt,Tripr,,TK 369
55,Solid Men Mandarin Collar Dark Blue T-Shirt,Try This,,TK 399
56,"Solid Men Mandarin Collar White, Blue T-Shirt",FastColors,,TK 299
57,"Color Block Men Round Neck White, Black, Yellow T-Shirt",Maniac,,TK 296
